Starting...
Training and testing...
TRAIN | Epoch: 0 | Loss: 2.4449668384459766 | Accuracy: 0.1
TEST | Epoch: 0 | Loss: 2.445319266599862 | Accuracy: 0.1
TRAIN | Epoch: 1 | Loss: 0.0950434272525016 | Accuracy: 0.97225
TEST | Epoch: 1 | Loss: 0.09628730062117911 | Accuracy: 0.97085
TRAIN | Epoch: 2 | Loss: 0.059851406903421715 | Accuracy: 0.9822333333333333
TEST | Epoch: 2 | Loss: 0.06308422259561385 | Accuracy: 0.980275
TRAIN | Epoch: 3 | Loss: 0.042940519151751066 | Accuracy: 0.9868666666666667
TEST | Epoch: 3 | Loss: 0.04799763242561504 | Accuracy: 0.9843
TRAIN | Epoch: 4 | Loss: 0.040252097535481604 | Accuracy: 0.9876583333333333
TEST | Epoch: 4 | Loss: 0.04632088593554568 | Accuracy: 0.985375
TRAIN | Epoch: 5 | Loss: 0.02783126367955286 | Accuracy: 0.991625
TEST | Epoch: 5 | Loss: 0.03421223704404061 | Accuracy: 0.9888
TRAIN | Epoch: 6 | Loss: 0.03496623793916306 | Accuracy: 0.9890625
TEST | Epoch: 6 | Loss: 0.04347342355302374 | Accuracy: 0.985975
TRAIN | Epoch: 7 | Loss: 0.023700496562215255 | Accuracy: 0.9926666666666667
TEST | Epoch: 7 | Loss: 0.031765860034435454 | Accuracy: 0.98945
TRAIN | Epoch: 8 | Loss: 0.019440509131002363 | Accuracy: 0.9941625
TEST | Epoch: 8 | Loss: 0.02930824936267821 | Accuracy: 0.990375
TRAIN | Epoch: 9 | Loss: 0.017985786495802045 | Accuracy: 0.9945208333333333
TEST | Epoch: 9 | Loss: 0.02839441223826254 | Accuracy: 0.990725
TRAIN | Epoch: 10 | Loss: 0.018617577033152147 | Accuracy: 0.994425
TEST | Epoch: 10 | Loss: 0.029996666755667815 | Accuracy: 0.990275
TRAIN | Epoch: 11 | Loss: 0.016803011440637988 | Accuracy: 0.99495
TEST | Epoch: 11 | Loss: 0.029391136067301978 | Accuracy: 0.9907
TRAIN | Epoch: 12 | Loss: 0.015990472840348283 | Accuracy: 0.9951
TEST | Epoch: 12 | Loss: 0.028144305158937823 | Accuracy: 0.990825
TRAIN | Epoch: 13 | Loss: 0.013588332246554521 | Accuracy: 0.9957916666666666
