Starting...
Training and testing...
TRAIN | Epoch: 0 | Loss: 2.340664117033976 | Accuracy: 0.09999583333333334
TEST | Epoch: 0 | Loss: 2.340681397935264 | Accuracy: 0.1
TRAIN | Epoch: 1 | Loss: 0.09502289891209191 | Accuracy: 0.9713291666666667
TEST | Epoch: 1 | Loss: 0.09745385047389268 | Accuracy: 0.97085
TRAIN | Epoch: 2 | Loss: 0.05611995820437588 | Accuracy: 0.9829916666666667
TEST | Epoch: 2 | Loss: 0.05916158400950144 | Accuracy: 0.9812
TRAIN | Epoch: 3 | Loss: 0.04219787929104522 | Accuracy: 0.987275
TEST | Epoch: 3 | Loss: 0.04585153488915455 | Accuracy: 0.985825
TRAIN | Epoch: 4 | Loss: 0.03649832528433446 | Accuracy: 0.9889375
TEST | Epoch: 4 | Loss: 0.04257540936398666 | Accuracy: 0.98625
TRAIN | Epoch: 5 | Loss: 0.031042323268257243 | Accuracy: 0.9902833333333333
TEST | Epoch: 5 | Loss: 0.037317461517132326 | Accuracy: 0.987825
TRAIN | Epoch: 6 | Loss: 0.030655526680720566 | Accuracy: 0.99065
TEST | Epoch: 6 | Loss: 0.04087215278223993 | Accuracy: 0.987
TRAIN | Epoch: 7 | Loss: 0.02403147925851366 | Accuracy: 0.9928083333333333
TEST | Epoch: 7 | Loss: 0.032438428810228855 | Accuracy: 0.98975
TRAIN | Epoch: 8 | Loss: 0.02159016456677799 | Accuracy: 0.9932333333333333
TEST | Epoch: 8 | Loss: 0.03038170260319996 | Accuracy: 0.990625
TRAIN | Epoch: 9 | Loss: 0.019240874945718224 | Accuracy: 0.9941291666666666
TEST | Epoch: 9 | Loss: 0.029739876390699697 | Accuracy: 0.9904
TRAIN | Epoch: 10 | Loss: 0.018085445717050112 | Accuracy: 0.9946625
TEST | Epoch: 10 | Loss: 0.028275911980666025 | Accuracy: 0.9914
TRAIN | Epoch: 11 | Loss: 0.017943229222180754 | Accuracy: 0.9943541666666667
