Starting...
Training and testing...
TRAIN | Epoch: 0 | Loss: 3.8589465218706054 | Accuracy: 0.012632978723404254
TEST | Epoch: 0 | Loss: 3.858976374477143 | Accuracy: 0.011861702127659574
TRAIN | Epoch: 1 | Loss: 0.8661330309475925 | Accuracy: 0.7329521276595745
TEST | Epoch: 1 | Loss: 0.8985722298568759 | Accuracy: 0.7257446808510638
TRAIN | Epoch: 2 | Loss: 0.6446104919160394 | Accuracy: 0.7913209219858156
TEST | Epoch: 2 | Loss: 0.6866263903683145 | Accuracy: 0.7847872340425532
TRAIN | Epoch: 3 | Loss: 0.5441549056908526 | Accuracy: 0.8203368794326241
TEST | Epoch: 3 | Loss: 0.5956582704020692 | Accuracy: 0.808031914893617
TRAIN | Epoch: 4 | Loss: 0.49383777717269645 | Accuracy: 0.8356560283687944
TEST | Epoch: 4 | Loss: 0.5550827222354671 | Accuracy: 0.816968085106383
TRAIN | Epoch: 5 | Loss: 0.44850105019131203 | Accuracy: 0.8487056737588653
TEST | Epoch: 5 | Loss: 0.5158301271643739 | Accuracy: 0.831436170212766
TRAIN | Epoch: 6 | Loss: 0.43008067022192387 | Accuracy: 0.8504609929078014
TEST | Epoch: 6 | Loss: 0.5066442197784014 | Accuracy: 0.8298936170212766
TRAIN | Epoch: 7 | Loss: 0.402679474313502 | Accuracy: 0.8611347517730497
TEST | Epoch: 7 | Loss: 0.48519156416103454 | Accuracy: 0.8407978723404256
TRAIN | Epoch: 8 | Loss: 0.3900306497290564 | Accuracy: 0.8630673758865248
TEST | Epoch: 8 | Loss: 0.47379519860567104 | Accuracy: 0.8412234042553192
TRAIN | Epoch: 9 | Loss: 0.36795962390419007 | Accuracy: 0.8696187943262411
TEST | Epoch: 9 | Loss: 0.4602849499667984 | Accuracy: 0.8445212765957447
TRAIN | Epoch: 10 | Loss: 0.35368318277328037 | Accuracy: 0.8740336879432624
TEST | Epoch: 10 | Loss: 0.45524740750174686 | Accuracy: 0.8451595744680851
TRAIN | Epoch: 11 | Loss: 0.3389146442869778 | Accuracy: 0.8791666666666667
TEST | Epoch: 11 | Loss: 0.4491837689452163 | Accuracy: 0.851063829787234
TRAIN | Epoch: 12 | Loss: 0.327249643447539 | Accuracy: 0.8820390070921986
TEST | Epoch: 12 | Loss: 0.4417195153777024 | Accuracy: 0.8513829787234043
TRAIN | Epoch: 13 | Loss: 0.328497547341263 | Accuracy: 0.8805053191489361
TEST | Epoch: 13 | Loss: 0.44648062034334407 | Accuracy: 0.8479255319148936
TRAIN | Epoch: 14 | Loss: 0.3120034173816897 | Accuracy: 0.8875531914893617
TEST | Epoch: 14 | Loss: 0.4377714798375515 | Accuracy: 0.8531382978723404
TRAIN | Epoch: 15 | Loss: 0.30197797411442817 | Accuracy: 0.8903723404255319
TEST | Epoch: 15 | Loss: 0.4339296387734674 | Accuracy: 0.8542021276595745
TRAIN | Epoch: 16 | Loss: 0.29702962337735994 | Accuracy: 0.8918705673758865
TEST | Epoch: 16 | Loss: 0.43476498471182734 | Accuracy: 0.8559042553191489
TRAIN | Epoch: 17 | Loss: 0.2947697411574781 | Accuracy: 0.8905762411347518
TEST | Epoch: 17 | Loss: 0.43657329562576397 | Accuracy: 0.8556382978723405
TRAIN | Epoch: 18 | Loss: 0.27886518594200027 | Accuracy: 0.897322695035461
TEST | Epoch: 18 | Loss: 0.4263204041980851 | Accuracy: 0.8581914893617021
TRAIN | Epoch: 19 | Loss: 0.28086491843628164 | Accuracy: 0.8965159574468086
TEST | Epoch: 19 | Loss: 0.4323050644673908 | Accuracy: 0.853563829787234
TRAIN | Epoch: 20 | Loss: 0.26578206069216026 | Accuracy: 0.9012765957446809
TEST | Epoch: 20 | Loss: 0.4246554118261833 | Accuracy: 0.8602659574468086
TRAIN | Epoch: 21 | Loss: 0.2698527733452553 | Accuracy: 0.899104609929078
TEST | Epoch: 21 | Loss: 0.4324277152592753 | Accuracy: 0.8568617021276596
TRAIN | Epoch: 22 | Loss: 0.2591570259193345 | Accuracy: 0.9033244680851064
TEST | Epoch: 22 | Loss: 0.4283341665085109 | Accuracy: 0.8589361702127659
TRAIN | Epoch: 23 | Loss: 0.2598633184895722 | Accuracy: 0.9022517730496454
TEST | Epoch: 23 | Loss: 0.4296817134242289 | Accuracy: 0.8558510638297873
TRAIN | Epoch: 24 | Loss: 0.25528830267774827 | Accuracy: 0.9038297872340425
TEST | Epoch: 24 | Loss: 0.43298869000117424 | Accuracy: 0.8570212765957447
TRAIN | Epoch: 25 | Loss: 0.25361133333139235 | Accuracy: 0.9037145390070922
TEST | Epoch: 25 | Loss: 0.4354773770502668 | Accuracy: 0.856063829787234
TRAIN | Epoch: 26 | Loss: 0.24939985932092235 | Accuracy: 0.9052659574468085
TEST | Epoch: 26 | Loss: 0.43744588205899493 | Accuracy: 0.8535106382978723
TRAIN | Epoch: 27 | Loss: 0.23814140727387278 | Accuracy: 0.9104964539007092
TEST | Epoch: 27 | Loss: 0.4277022672940091 | Accuracy: 0.8573404255319149
TRAIN | Epoch: 28 | Loss: 0.2412923964940678 | Accuracy: 0.9066755319148936
TEST | Epoch: 28 | Loss: 0.43826488076293524 | Accuracy: 0.8549468085106383
TRAIN | Epoch: 29 | Loss: 0.23162785060310337 | Accuracy: 0.9103900709219858
TEST | Epoch: 29 | Loss: 0.43060436651776296 | Accuracy: 0.8601595744680851
TRAIN | Epoch: 30 | Loss: 0.2301814282429174 | Accuracy: 0.9119858156028369
TEST | Epoch: 30 | Loss: 0.4307766853250756 | Accuracy: 0.8579255319148936
TRAIN | Epoch: 31 | Loss: 0.22105348060534585 | Accuracy: 0.9146365248226951
TEST | Epoch: 31 | Loss: 0.43092477834337034 | Accuracy: 0.8597340425531915
TRAIN | Epoch: 32 | Loss: 0.2227460717574374 | Accuracy: 0.9134131205673759
TEST | Epoch: 32 | Loss: 0.42911456551833005 | Accuracy: 0.8597872340425532
