Starting...
Training and testing...
TRAIN | Epoch: 0 | Loss: 3.2744443388659885 | Accuracy: 0.03845352564102564
TEST | Epoch: 0 | Loss: 3.2745539933537096 | Accuracy: 0.038413461538461535
TRAIN | Epoch: 1 | Loss: 0.5692021206168163 | Accuracy: 0.8237820512820513
TEST | Epoch: 1 | Loss: 0.5843994867277121 | Accuracy: 0.8196153846153846
TRAIN | Epoch: 2 | Loss: 0.4105671299121622 | Accuracy: 0.8713141025641026
TEST | Epoch: 2 | Loss: 0.4388851240918004 | Accuracy: 0.8656730769230769
TRAIN | Epoch: 3 | Loss: 0.35246847567102574 | Accuracy: 0.8855929487179487
TEST | Epoch: 3 | Loss: 0.38677342416292004 | Accuracy: 0.8780769230769231
TRAIN | Epoch: 4 | Loss: 0.29409339650026023 | Accuracy: 0.9045673076923076
TEST | Epoch: 4 | Loss: 0.3373591412947328 | Accuracy: 0.8917788461538462
TRAIN | Epoch: 5 | Loss: 0.27015198496287984 | Accuracy: 0.9121474358974359
TEST | Epoch: 5 | Loss: 0.3176780839169293 | Accuracy: 0.9001923076923077
TRAIN | Epoch: 6 | Loss: 0.24241079230867593 | Accuracy: 0.9199759615384615
TEST | Epoch: 6 | Loss: 0.29583589340875643 | Accuracy: 0.9054326923076923
TRAIN | Epoch: 7 | Loss: 0.2252805341190722 | Accuracy: 0.9254166666666667
TEST | Epoch: 7 | Loss: 0.28377276123603046 | Accuracy: 0.9084615384615384
TRAIN | Epoch: 8 | Loss: 0.20949187831046498 | Accuracy: 0.9288141025641026
TEST | Epoch: 8 | Loss: 0.269557374544935 | Accuracy: 0.9125
TRAIN | Epoch: 9 | Loss: 0.20175690440535524 | Accuracy: 0.9313862179487179
TEST | Epoch: 9 | Loss: 0.26999418077465903 | Accuracy: 0.9133173076923077
TRAIN | Epoch: 10 | Loss: 0.19397789207375726 | Accuracy: 0.9331089743589743
TEST | Epoch: 10 | Loss: 0.269372199223204 | Accuracy: 0.9113942307692308
TRAIN | Epoch: 11 | Loss: 0.18214656566453669 | Accuracy: 0.9373798076923077
TEST | Epoch: 11 | Loss: 0.2601465066758479 | Accuracy: 0.9161057692307693
TRAIN | Epoch: 12 | Loss: 0.17231991939342875 | Accuracy: 0.9391826923076924
TEST | Epoch: 12 | Loss: 0.25672270438483047 | Accuracy: 0.9174038461538462
TRAIN | Epoch: 13 | Loss: 0.1623726230862311 | Accuracy: 0.9433573717948718
TEST | Epoch: 13 | Loss: 0.24707621318626488 | Accuracy: 0.9214423076923077
TRAIN | Epoch: 14 | Loss: 0.15812193219623866 | Accuracy: 0.9443669871794872
TEST | Epoch: 14 | Loss: 0.2503197735564035 | Accuracy: 0.9190865384615384
TRAIN | Epoch: 15 | Loss: 0.15930996943642434 | Accuracy: 0.9425721153846154
TEST | Epoch: 15 | Loss: 0.2549433455446401 | Accuracy: 0.9185096153846154
TRAIN | Epoch: 16 | Loss: 0.15154431802119625 | Accuracy: 0.9464182692307692
TEST | Epoch: 16 | Loss: 0.2515600859420341 | Accuracy: 0.9195192307692308
TRAIN | Epoch: 17 | Loss: 0.14373492083235215 | Accuracy: 0.9475320512820513
TEST | Epoch: 17 | Loss: 0.24971993542857354 | Accuracy: 0.9216346153846153
TRAIN | Epoch: 18 | Loss: 0.14286717245901184 | Accuracy: 0.9490945512820513
TEST | Epoch: 18 | Loss: 0.2496825764393925 | Accuracy: 0.9203846153846154
TRAIN | Epoch: 19 | Loss: 0.13407034832176015 | Accuracy: 0.9514903846153846
TEST | Epoch: 19 | Loss: 0.24303452784433868 | Accuracy: 0.9233173076923077
TRAIN | Epoch: 20 | Loss: 0.1312600982152053 | Accuracy: 0.9527163461538461
TEST | Epoch: 20 | Loss: 0.24748448822616728 | Accuracy: 0.9219711538461538
TRAIN | Epoch: 21 | Loss: 0.127900447508433 | Accuracy: 0.9535817307692308
TEST | Epoch: 21 | Loss: 0.24586384034472206 | Accuracy: 0.9232692307692307
TRAIN | Epoch: 22 | Loss: 0.12629611348221312 | Accuracy: 0.9528926282051282
TEST | Epoch: 22 | Loss: 0.24413984543544048 | Accuracy: 0.9221153846153847
TRAIN | Epoch: 23 | Loss: 0.12209721662885026 | Accuracy: 0.9550480769230769
TEST | Epoch: 23 | Loss: 0.2446011099713991 | Accuracy: 0.9226442307692307
TRAIN | Epoch: 24 | Loss: 0.11678162240493999 | Accuracy: 0.9576201923076924
TEST | Epoch: 24 | Loss: 0.2428399174133396 | Accuracy: 0.9229807692307692
TRAIN | Epoch: 25 | Loss: 0.11611693995672354 | Accuracy: 0.9574358974358974
TEST | Epoch: 25 | Loss: 0.24722935506989843 | Accuracy: 0.9242307692307692
TRAIN | Epoch: 26 | Loss: 0.11777068920512558 | Accuracy: 0.9548958333333334
TEST | Epoch: 26 | Loss: 0.25317385731117276 | Accuracy: 0.9210576923076923
TRAIN | Epoch: 27 | Loss: 0.1118389162342613 | Accuracy: 0.958349358974359
TEST | Epoch: 27 | Loss: 0.25420041401830057 | Accuracy: 0.9227403846153847
TRAIN | Epoch: 28 | Loss: 0.107405034657252 | Accuracy: 0.9598878205128205
TEST | Epoch: 28 | Loss: 0.24881638475068021 | Accuracy: 0.9238461538461539
TRAIN | Epoch: 29 | Loss: 0.10975919516839841 | Accuracy: 0.9588301282051283
TEST | Epoch: 29 | Loss: 0.2577568907152237 | Accuracy: 0.9216346153846153
TRAIN | Epoch: 30 | Loss: 0.10324164841962935 | Accuracy: 0.9614823717948718
TEST | Epoch: 30 | Loss: 0.25052897122028445 | Accuracy: 0.9242307692307692
TRAIN | Epoch: 31 | Loss: 0.10262802057178702 | Accuracy: 0.9615865384615384
TEST | Epoch: 31 | Loss: 0.253920596431308 | Accuracy: 0.9227403846153847
TRAIN | Epoch: 32 | Loss: 0.10523106158439233 | Accuracy: 0.9607211538461539
TEST | Epoch: 32 | Loss: 0.254899775908557 | Accuracy: 0.9239423076923077
TRAIN | Epoch: 33 | Loss: 0.09700192717482466 | Accuracy: 0.9633733974358974
TEST | Epoch: 33 | Loss: 0.25138784878264275 | Accuracy: 0.9259134615384615
TRAIN | Epoch: 34 | Loss: 0.09895623069514771 | Accuracy: 0.9621634615384616
TEST | Epoch: 34 | Loss: 0.25619470346808537 | Accuracy: 0.9236538461538462
TRAIN | Epoch: 35 | Loss: 0.09517148822731374 | Accuracy: 0.9636698717948718
TEST | Epoch: 35 | Loss: 0.2559483251125954 | Accuracy: 0.924375
TRAIN | Epoch: 36 | Loss: 0.09521476926218499 | Accuracy: 0.9637419871794872
TEST | Epoch: 36 | Loss: 0.25798572261922426 | Accuracy: 0.9247115384615384
TRAIN | Epoch: 37 | Loss: 0.09629381709728083 | Accuracy: 0.9626121794871795
TEST | Epoch: 37 | Loss: 0.26224847808226426 | Accuracy: 0.9213942307692308
TRAIN | Epoch: 38 | Loss: 0.08829091195956267 | Accuracy: 0.9663221153846154
TEST | Epoch: 38 | Loss: 0.25311175529323315 | Accuracy: 0.9255288461538461
TRAIN | Epoch: 39 | Loss: 0.0903216304297508 | Accuracy: 0.9656971153846153
TEST | Epoch: 39 | Loss: 0.2593573535963202 | Accuracy: 0.9239423076923077
TRAIN | Epoch: 40 | Loss: 0.09057354640622478 | Accuracy: 0.9660977564102564
TEST | Epoch: 40 | Loss: 0.2588617323958886 | Accuracy: 0.9240865384615384
TRAIN | Epoch: 41 | Loss: 0.08806457437779436 | Accuracy: 0.9657772435897436
TEST | Epoch: 41 | Loss: 0.26160862966155257 | Accuracy: 0.9240384615384616
TRAIN | Epoch: 42 | Loss: 0.0856172658580703 | Accuracy: 0.9668830128205128
TEST | Epoch: 42 | Loss: 0.261902360755788 | Accuracy: 0.9241826923076923
TRAIN | Epoch: 43 | Loss: 0.08651247316204513 | Accuracy: 0.9661137820512821
TEST | Epoch: 43 | Loss: 0.26846771919402235 | Accuracy: 0.9235096153846154
TRAIN | Epoch: 44 | Loss: 0.08060637720369054 | Accuracy: 0.9688141025641026
TEST | Epoch: 44 | Loss: 0.26220769666447474 | Accuracy: 0.9261538461538461
TRAIN | Epoch: 45 | Loss: 0.08284544595988853 | Accuracy: 0.9673317307692307
TEST | Epoch: 45 | Loss: 0.2622641820266886 | Accuracy: 0.9253365384615385
TRAIN | Epoch: 46 | Loss: 0.0820062943733932 | Accuracy: 0.9672916666666667
TEST | Epoch: 46 | Loss: 0.26357495971230316 | Accuracy: 0.9251923076923076
TRAIN | Epoch: 47 | Loss: 0.08106870778453232 | Accuracy: 0.9682051282051282
TEST | Epoch: 47 | Loss: 0.2677452208491415 | Accuracy: 0.92375
TRAIN | Epoch: 48 | Loss: 0.08119365406360664 | Accuracy: 0.968213141025641
TEST | Epoch: 48 | Loss: 0.2664288840073496 | Accuracy: 0.9245192307692308
TRAIN | Epoch: 49 | Loss: 0.0814678172627048 | Accuracy: 0.967323717948718
TEST | Epoch: 49 | Loss: 0.27736823123261806 | Accuracy: 0.9227884615384615
TRAIN | Epoch: 50 | Loss: 0.07673915305356542 | Accuracy: 0.9688461538461538
TEST | Epoch: 50 | Loss: 0.26606293468684195 | Accuracy: 0.9250480769230769
TRAIN | Epoch: 51 | Loss: 0.08100208299382274 | Accuracy: 0.9676442307692308
TEST | Epoch: 51 | Loss: 0.2723437397953565 | Accuracy: 0.9229807692307692
TRAIN | Epoch: 52 | Loss: 0.07501457737951311 | Accuracy: 0.9698237179487179
TEST | Epoch: 52 | Loss: 0.2699352080537845 | Accuracy: 0.9245673076923077
TRAIN | Epoch: 53 | Loss: 0.0773037300342362 | Accuracy: 0.9689663461538461
TEST | Epoch: 53 | Loss: 0.27337722456067415 | Accuracy: 0.9238942307692307
TRAIN | Epoch: 54 | Loss: 0.073973991255539 | Accuracy: 0.9702483974358974
TEST | Epoch: 54 | Loss: 0.2723584736697379 | Accuracy: 0.9244711538461539
TRAIN | Epoch: 55 | Loss: 0.0719939660395704 | Accuracy: 0.9712179487179488
TEST | Epoch: 55 | Loss: 0.26890601304063527 | Accuracy: 0.9250961538461538
TRAIN | Epoch: 56 | Loss: 0.07396892305819108 | Accuracy: 0.9703685897435897
TEST | Epoch: 56 | Loss: 0.27646409822048323 | Accuracy: 0.9237019230769231
TRAIN | Epoch: 57 | Loss: 0.07261465278769887 | Accuracy: 0.9703766025641025
TEST | Epoch: 57 | Loss: 0.27549407193203207 | Accuracy: 0.9232211538461539
TRAIN | Epoch: 58 | Loss: 0.07264333573631432 | Accuracy: 0.9703365384615384
TEST | Epoch: 58 | Loss: 0.2789120330970147 | Accuracy: 0.9238461538461539
