Starting...
Training and testing...
TRAIN | Epoch: 0 | Loss: 2.42191501387227 | Accuracy: 0.1
TEST | Epoch: 0 | Loss: 2.4219236058967684 | Accuracy: 0.1
TRAIN | Epoch: 1 | Loss: 0.08483259257030949 | Accuracy: 0.9740416666666667
TEST | Epoch: 1 | Loss: 0.08740834198440574 | Accuracy: 0.9727
TRAIN | Epoch: 2 | Loss: 0.0581222573557957 | Accuracy: 0.9822833333333333
TEST | Epoch: 2 | Loss: 0.0615698085771533 | Accuracy: 0.98025
TRAIN | Epoch: 3 | Loss: 0.04278400734661021 | Accuracy: 0.9871
TEST | Epoch: 3 | Loss: 0.04730438311268994 | Accuracy: 0.98495
TRAIN | Epoch: 4 | Loss: 0.03238880993207058 | Accuracy: 0.9902666666666666
TEST | Epoch: 4 | Loss: 0.0377451062991313 | Accuracy: 0.9881
TRAIN | Epoch: 5 | Loss: 0.0370705384766923 | Accuracy: 0.988275
TEST | Epoch: 5 | Loss: 0.04493161166037373 | Accuracy: 0.98605
TRAIN | Epoch: 6 | Loss: 0.028096347723493013 | Accuracy: 0.9911291666666666
TEST | Epoch: 6 | Loss: 0.03651870865860308 | Accuracy: 0.988075
TRAIN | Epoch: 7 | Loss: 0.023052572097219254 | Accuracy: 0.9928291666666667
TEST | Epoch: 7 | Loss: 0.03302217903276633 | Accuracy: 0.98955
TRAIN | Epoch: 8 | Loss: 0.021380268713823807 | Accuracy: 0.9932625
TEST | Epoch: 8 | Loss: 0.032293924977663334 | Accuracy: 0.9896
TRAIN | Epoch: 9 | Loss: 0.02242287478810864 | Accuracy: 0.9929958333333333
TEST | Epoch: 9 | Loss: 0.03445169068200894 | Accuracy: 0.989025
TRAIN | Epoch: 10 | Loss: 0.01631610284463281 | Accuracy: 0.9951583333333334
TEST | Epoch: 10 | Loss: 0.02656130223183576 | Accuracy: 0.9913
TRAIN | Epoch: 11 | Loss: 0.01752265142711804 | Accuracy: 0.9944875
TEST | Epoch: 11 | Loss: 0.03083187143383687 | Accuracy: 0.990825
TRAIN | Epoch: 12 | Loss: 0.0172805812460438 | Accuracy: 0.994575
TEST | Epoch: 12 | Loss: 0.03128868505780841 | Accuracy: 0.99035
TRAIN | Epoch: 13 | Loss: 0.014821201794181307 | Accuracy: 0.9954125
TEST | Epoch: 13 | Loss: 0.029725052040399994 | Accuracy: 0.99095
TRAIN | Epoch: 14 | Loss: 0.016079364018110012 | Accuracy: 0.9949916666666667
TEST | Epoch: 14 | Loss: 0.032522113597319206 | Accuracy: 0.989925
TRAIN | Epoch: 15 | Loss: 0.012844073760762216 | Accuracy: 0.9960625
TEST | Epoch: 15 | Loss: 0.027286540605248273 | Accuracy: 0.991425
TRAIN | Epoch: 16 | Loss: 0.01170130135943072 | Accuracy: 0.9964583333333333
TEST | Epoch: 16 | Loss: 0.027260001171347595 | Accuracy: 0.9912
TRAIN | Epoch: 17 | Loss: 0.010955954638036175 | Accuracy: 0.99685
TEST | Epoch: 17 | Loss: 0.026763075781017335 | Accuracy: 0.991875
TRAIN | Epoch: 18 | Loss: 0.01215795346241059 | Accuracy: 0.9964375
TEST | Epoch: 18 | Loss: 0.03015881435735443 | Accuracy: 0.99085
TRAIN | Epoch: 19 | Loss: 0.010231225924268977 | Accuracy: 0.99695
TEST | Epoch: 19 | Loss: 0.027367488667434697 | Accuracy: 0.99135
TRAIN | Epoch: 20 | Loss: 0.010343953878601592 | Accuracy: 0.9969458333333333
TEST | Epoch: 20 | Loss: 0.02824537039874981 | Accuracy: 0.9911
TRAIN | Epoch: 21 | Loss: 0.010257445235956248 | Accuracy: 0.996975
TEST | Epoch: 21 | Loss: 0.028531811663031783 | Accuracy: 0.991425
TRAIN | Epoch: 22 | Loss: 0.008748156203909415 | Accuracy: 0.9974916666666667
TEST | Epoch: 22 | Loss: 0.026285172411966602 | Accuracy: 0.992025
TRAIN | Epoch: 23 | Loss: 0.007474665992075532 | Accuracy: 0.9980125
TEST | Epoch: 23 | Loss: 0.025232509482114435 | Accuracy: 0.99265
TRAIN | Epoch: 24 | Loss: 0.00898685756134404 | Accuracy: 0.9972958333333334
TEST | Epoch: 24 | Loss: 0.028146425766101612 | Accuracy: 0.991675
TRAIN | Epoch: 25 | Loss: 0.007316855706546146 | Accuracy: 0.9979375
TEST | Epoch: 25 | Loss: 0.027199907507255233 | Accuracy: 0.992225
TRAIN | Epoch: 26 | Loss: 0.007713765857452774 | Accuracy: 0.9977625
TEST | Epoch: 26 | Loss: 0.028928363512707538 | Accuracy: 0.991475
TRAIN | Epoch: 27 | Loss: 0.006964101727470776 | Accuracy: 0.9981375
TEST | Epoch: 27 | Loss: 0.027335863437736817 | Accuracy: 0.991825
TRAIN | Epoch: 28 | Loss: 0.00695307288870578 | Accuracy: 0.99795
TEST | Epoch: 28 | Loss: 0.02739347748874591 | Accuracy: 0.992125
TRAIN | Epoch: 29 | Loss: 0.006678313356377148 | Accuracy: 0.9981083333333334
TEST | Epoch: 29 | Loss: 0.02787706938592421 | Accuracy: 0.9922
TRAIN | Epoch: 30 | Loss: 0.005637959513768942 | Accuracy: 0.9984958333333334
TEST | Epoch: 30 | Loss: 0.02560495329658803 | Accuracy: 0.99275
TRAIN | Epoch: 31 | Loss: 0.00638082433958324 | Accuracy: 0.9981416666666667
TEST | Epoch: 31 | Loss: 0.027363106723478334 | Accuracy: 0.992225
TRAIN | Epoch: 32 | Loss: 0.005561634482607015 | Accuracy: 0.9984791666666667
TEST | Epoch: 32 | Loss: 0.025638421900182357 | Accuracy: 0.992825
TRAIN | Epoch: 33 | Loss: 0.0053541699097008795 | Accuracy: 0.9985416666666667
TEST | Epoch: 33 | Loss: 0.02552284774791268 | Accuracy: 0.993125
TRAIN | Epoch: 34 | Loss: 0.006597672072998641 | Accuracy: 0.998025
TEST | Epoch: 34 | Loss: 0.029347434857893644 | Accuracy: 0.9924
TRAIN | Epoch: 35 | Loss: 0.005168734780958749 | Accuracy: 0.9985833333333334
TEST | Epoch: 35 | Loss: 0.026876151554212628 | Accuracy: 0.9928
