Starting...
Training and testing...
TRAIN | Epoch: 0 | Loss: 3.2638676348703193 | Accuracy: 0.039711538461538465
TEST | Epoch: 0 | Loss: 3.263682409999301 | Accuracy: 0.039663461538461536
TRAIN | Epoch: 1 | Loss: 0.56992201325853 | Accuracy: 0.824599358974359
TEST | Epoch: 1 | Loss: 0.5861529646348715 | Accuracy: 0.8202884615384616
TRAIN | Epoch: 2 | Loss: 0.3955975022566801 | Accuracy: 0.8749358974358974
TEST | Epoch: 2 | Loss: 0.4232499574832083 | Accuracy: 0.8663942307692307
TRAIN | Epoch: 3 | Loss: 0.33120810242352394 | Accuracy: 0.8932051282051282
TEST | Epoch: 3 | Loss: 0.36665138469994674 | Accuracy: 0.8843269230769231
TRAIN | Epoch: 4 | Loss: 0.29167340277022147 | Accuracy: 0.9050320512820513
TEST | Epoch: 4 | Loss: 0.33410077454836395 | Accuracy: 0.8934134615384616
TRAIN | Epoch: 5 | Loss: 0.2640624558923495 | Accuracy: 0.9133092948717949
TEST | Epoch: 5 | Loss: 0.31378360757547946 | Accuracy: 0.8989423076923077
TRAIN | Epoch: 6 | Loss: 0.24579101687557425 | Accuracy: 0.9176121794871794
TEST | Epoch: 6 | Loss: 0.299589963362623 | Accuracy: 0.9015384615384615
TRAIN | Epoch: 7 | Loss: 0.22452385774229755 | Accuracy: 0.9247836538461538
TEST | Epoch: 7 | Loss: 0.28270162364995466 | Accuracy: 0.9102884615384615
TRAIN | Epoch: 8 | Loss: 0.20996052226357745 | Accuracy: 0.929463141025641
TEST | Epoch: 8 | Loss: 0.278416634330971 | Accuracy: 0.9102403846153846
TRAIN | Epoch: 9 | Loss: 0.19814023771136863 | Accuracy: 0.9333092948717949
TEST | Epoch: 9 | Loss: 0.2719094611386009 | Accuracy: 0.9127403846153846
TRAIN | Epoch: 10 | Loss: 0.1970212747034771 | Accuracy: 0.9320512820512821
TEST | Epoch: 10 | Loss: 0.2751039720163965 | Accuracy: 0.9120673076923077
TRAIN | Epoch: 11 | Loss: 0.18184508247054512 | Accuracy: 0.937275641025641
TEST | Epoch: 11 | Loss: 0.2638776969992014 | Accuracy: 0.9124038461538462
TRAIN | Epoch: 12 | Loss: 0.17685585414337204 | Accuracy: 0.9391025641025641
TEST | Epoch: 12 | Loss: 0.26496180473530884 | Accuracy: 0.9153365384615385
TRAIN | Epoch: 13 | Loss: 0.16569243470658923 | Accuracy: 0.9420993589743589
TEST | Epoch: 13 | Loss: 0.25613892920125286 | Accuracy: 0.9176442307692307
TRAIN | Epoch: 14 | Loss: 0.16581069442230695 | Accuracy: 0.9419070512820513
TEST | Epoch: 14 | Loss: 0.2646051847417511 | Accuracy: 0.9149519230769231
TRAIN | Epoch: 15 | Loss: 0.1558280998653308 | Accuracy: 0.9450080128205128
TEST | Epoch: 15 | Loss: 0.25347907014206045 | Accuracy: 0.9191826923076923
