Starting...
Training and testing...
TRAIN | Epoch: 0 | Loss: 3.858332765199953 | Accuracy: 0.019982269503546098
TEST | Epoch: 0 | Loss: 3.858060971992558 | Accuracy: 0.019893617021276597
TRAIN | Epoch: 1 | Loss: 0.8255687410694887 | Accuracy: 0.7440336879432624
TEST | Epoch: 1 | Loss: 0.8562784094459287 | Accuracy: 0.7387765957446808
TRAIN | Epoch: 2 | Loss: 0.6589939152051169 | Accuracy: 0.7884485815602836
TEST | Epoch: 2 | Loss: 0.7050955228500737 | Accuracy: 0.7773936170212766
TRAIN | Epoch: 3 | Loss: 0.5463591202440373 | Accuracy: 0.8218439716312057
TEST | Epoch: 3 | Loss: 0.6006093969362111 | Accuracy: 0.8048936170212766
TRAIN | Epoch: 4 | Loss: 0.48595510724831986 | Accuracy: 0.838200354609929
TEST | Epoch: 4 | Loss: 0.5483595045004664 | Accuracy: 0.8198936170212766
TRAIN | Epoch: 5 | Loss: 0.4469565719027526 | Accuracy: 0.8495390070921985
TEST | Epoch: 5 | Loss: 0.5171434740822922 | Accuracy: 0.8288829787234042
TRAIN | Epoch: 6 | Loss: 0.4298361815905529 | Accuracy: 0.8525709219858156
TEST | Epoch: 6 | Loss: 0.5035641923157264 | Accuracy: 0.8335106382978723
TRAIN | Epoch: 7 | Loss: 0.39990302254914845 | Accuracy: 0.8620744680851063
TEST | Epoch: 7 | Loss: 0.48134771879212807 | Accuracy: 0.8375531914893617
TRAIN | Epoch: 8 | Loss: 0.3826094948598959 | Accuracy: 0.8663475177304965
TEST | Epoch: 8 | Loss: 0.4737103682350118 | Accuracy: 0.8403191489361702
TRAIN | Epoch: 9 | Loss: 0.3782010538392598 | Accuracy: 0.8670744680851064
TEST | Epoch: 9 | Loss: 0.4765729611618312 | Accuracy: 0.8412234042553192
TRAIN | Epoch: 10 | Loss: 0.3594007040192581 | Accuracy: 0.8738031914893617
TEST | Epoch: 10 | Loss: 0.4602158739971263 | Accuracy: 0.8455851063829787
TRAIN | Epoch: 11 | Loss: 0.34892130501989066 | Accuracy: 0.8755230496453901
TEST | Epoch: 11 | Loss: 0.4567086718277387 | Accuracy: 0.8463829787234043
TRAIN | Epoch: 12 | Loss: 0.33321211545275986 | Accuracy: 0.8804255319148936
TEST | Epoch: 12 | Loss: 0.451211411952457 | Accuracy: 0.846436170212766
TRAIN | Epoch: 13 | Loss: 0.32896896541420856 | Accuracy: 0.8834131205673759
TEST | Epoch: 13 | Loss: 0.45063951135428715 | Accuracy: 0.8517021276595744
TRAIN | Epoch: 14 | Loss: 0.3163798731918607 | Accuracy: 0.8863031914893617
TEST | Epoch: 14 | Loss: 0.44349402875557953 | Accuracy: 0.8500531914893616
TRAIN | Epoch: 15 | Loss: 0.3114426869359093 | Accuracy: 0.8871542553191489
TEST | Epoch: 15 | Loss: 0.4410247478444326 | Accuracy: 0.8498936170212766
TRAIN | Epoch: 16 | Loss: 0.29696579444839794 | Accuracy: 0.8909131205673759
TEST | Epoch: 16 | Loss: 0.4321176996680158 | Accuracy: 0.8542021276595745
TRAIN | Epoch: 17 | Loss: 0.2948135892099127 | Accuracy: 0.8918971631205673
TEST | Epoch: 17 | Loss: 0.44368493733954495 | Accuracy: 0.8519148936170213
TRAIN | Epoch: 18 | Loss: 0.2780637423286707 | Accuracy: 0.8977127659574468
TEST | Epoch: 18 | Loss: 0.4254806659714351 | Accuracy: 0.8561170212765957
TRAIN | Epoch: 19 | Loss: 0.27373652334136783 | Accuracy: 0.8983067375886525
TEST | Epoch: 19 | Loss: 0.4310677900934649 | Accuracy: 0.8555851063829787
TRAIN | Epoch: 20 | Loss: 0.28187029087617754 | Accuracy: 0.8940425531914894
