Starting...
Training and testing...
TRAIN | Epoch: 0 | Loss: 3.297090883119877 | Accuracy: 0.03681089743589744
TEST | Epoch: 0 | Loss: 3.2972846057114733 | Accuracy: 0.03649038461538461
TRAIN | Epoch: 1 | Loss: 0.5850587651238784 | Accuracy: 0.8198317307692308
TEST | Epoch: 1 | Loss: 0.6025102321111324 | Accuracy: 0.8158173076923076
TRAIN | Epoch: 2 | Loss: 0.38687555610747887 | Accuracy: 0.8785336538461539
TEST | Epoch: 2 | Loss: 0.4138705711546231 | Accuracy: 0.8709134615384615
TRAIN | Epoch: 3 | Loss: 0.3263457150052728 | Accuracy: 0.8950641025641025
TEST | Epoch: 3 | Loss: 0.3608830873419041 | Accuracy: 0.8865865384615385
TRAIN | Epoch: 4 | Loss: 0.29018850055538387 | Accuracy: 0.9056650641025641
TEST | Epoch: 4 | Loss: 0.3339594731773107 | Accuracy: 0.8945673076923077
TRAIN | Epoch: 5 | Loss: 0.2617999953407271 | Accuracy: 0.9139102564102564
TEST | Epoch: 5 | Loss: 0.30986520143253343 | Accuracy: 0.9017307692307692
TRAIN | Epoch: 6 | Loss: 0.2458193581842346 | Accuracy: 0.9180368589743589
TEST | Epoch: 6 | Loss: 0.3003773738311927 | Accuracy: 0.9035096153846154
TRAIN | Epoch: 7 | Loss: 0.22967511598306162 | Accuracy: 0.9230608974358975
TEST | Epoch: 7 | Loss: 0.2911938868526938 | Accuracy: 0.9058173076923077
TRAIN | Epoch: 8 | Loss: 0.20701534312745623 | Accuracy: 0.9295192307692308
TEST | Epoch: 8 | Loss: 0.2715263653436785 | Accuracy: 0.9129326923076924
TRAIN | Epoch: 9 | Loss: 0.2029242618236421 | Accuracy: 0.9299759615384615
TEST | Epoch: 9 | Loss: 0.27578581018105575 | Accuracy: 0.9110096153846153
TRAIN | Epoch: 10 | Loss: 0.1869335159135206 | Accuracy: 0.9361217948717949
TEST | Epoch: 10 | Loss: 0.2617272753045693 | Accuracy: 0.91625
TRAIN | Epoch: 11 | Loss: 0.17849390162391274 | Accuracy: 0.9392628205128205
TEST | Epoch: 11 | Loss: 0.2580310540497727 | Accuracy: 0.9173076923076923
TRAIN | Epoch: 12 | Loss: 0.17547601100611426 | Accuracy: 0.9387339743589743
TEST | Epoch: 12 | Loss: 0.2613301813990474 | Accuracy: 0.9145192307692308
